task_id,T_rl,T_base,ratio_rl_base,term_rl,term_base
0,30,25,1.2,cone,cone
1,32,23,1.391304347826087,cone,cone
2,32,8,4.0,cone,jl
3,17,7,2.4285714285714284,collision,collision
4,111,28,3.9642857142857144,jl,jl
5,45,3,15.0,cone,jl
6,67,27,2.4814814814814814,jl,cone
7,43,9,4.777777777777778,cone,jl
8,26,16,1.625,cone,cone
9,31,8,3.875,jl,jl
10,109,16,6.8125,cone,cone
11,14,15,0.9333333333333333,jl,jl
12,30,14,2.142857142857143,cone,cone
13,23,12,1.9166666666666667,jl,jl
14,37,3,12.333333333333334,cone,jl
15,39,21,1.8571428571428572,cone,cone
16,59,43,1.372093023255814,jl,jl
17,28,21,1.3333333333333333,cone,cone
18,15,9,1.6666666666666667,jl,jl
19,6,5,1.2,jl,jl
20,59,2,29.5,jl,jl
21,46,36,1.2777777777777777,jl,cone
22,33,24,1.375,cone,cone
23,85,6,14.166666666666666,cone,jl
24,37,30,1.2333333333333334,jl,jl
25,22,25,0.88,cone,cone
26,43,38,1.131578947368421,cone,cone
27,23,21,1.0952380952380953,cone,cone
28,72,44,1.6363636363636365,cone,cone
29,23,23,1.0,lateral,lateral
30,74,49,1.510204081632653,cone,cone
31,135,24,5.625,cone,jl
32,30,22,1.3636363636363635,lateral,cone
33,97,19,5.105263157894737,cone,jl
34,8,2,4.0,jl,jl
35,24,19,1.263157894736842,lateral,cone
36,68,7,9.714285714285714,cone,jl
37,47,18,2.611111111111111,cone,cone
38,88,11,8.0,jl,jl
39,65,28,2.3214285714285716,cone,cone
40,49,16,3.0625,cone,jl
41,50,25,2.0,cone,jl
42,40,40,1.0,lateral,lateral
43,12,12,1.0,jl,jl
44,21,17,1.2352941176470589,cone,collision
45,61,37,1.6486486486486487,jl,jl
46,51,12,4.25,cone,jl
47,36,19,1.894736842105263,cone,cone
48,49,8,6.125,cone,jl
49,92,19,4.842105263157895,cone,cone
50,73,17,4.294117647058823,cone,jl
51,23,32,0.71875,jl,cone
52,13,4,3.25,jl,jl
53,20,14,1.4285714285714286,collision,collision
54,34,35,0.9714285714285714,cone,jl
55,24,18,1.3333333333333333,jl,jl
56,14,14,1.0,lateral,lateral
57,45,6,7.5,cone,jl
58,19,18,1.0555555555555556,cone,cone
59,20,8,2.5,cone,jl
60,77,32,2.40625,cone,cone
61,81,21,3.857142857142857,cone,jl
62,21,18,1.1666666666666667,cone,cone
63,76,12,6.333333333333333,cone,jl
64,92,28,3.2857142857142856,cone,jl
65,35,13,2.6923076923076925,lateral,jl
66,88,22,4.0,cone,jl
67,41,25,1.64,jl,jl
68,39,16,2.4375,jl,jl
69,35,30,1.1666666666666667,cone,cone
70,40,40,1.0,lateral,lateral
71,35,13,2.6923076923076925,jl,jl
72,22,23,0.9565217391304348,cone,cone
73,13,9,1.4444444444444444,jl,jl
74,14,7,2.0,jl,jl
75,46,23,2.0,jl,cone
76,29,27,1.0740740740740742,cone,jl
77,20,16,1.25,cone,cone
78,12,12,1.0,lateral,lateral
79,15,5,3.0,jl,jl
80,47,28,1.6785714285714286,cone,cone
81,20,14,1.4285714285714286,cone,cone
82,94,20,4.7,cone,jl
83,83,30,2.7666666666666666,cone,cone
84,34,14,2.4285714285714284,cone,jl
85,81,57,1.4210526315789473,cone,jl
86,110,26,4.230769230769231,cone,cone
87,15,13,1.1538461538461537,cone,cone
88,28,11,2.5454545454545454,cone,jl
89,53,8,6.625,jl,jl
90,24,16,1.5,cone,cone
91,64,5,12.8,cone,jl
92,16,6,2.6666666666666665,jl,jl
93,48,29,1.6551724137931034,cone,cone
94,35,3,11.666666666666666,cone,jl
95,29,21,1.380952380952381,cone,cone
96,14,14,1.0,lateral,lateral
97,50,27,1.8518518518518519,cone,jl
98,34,14,2.4285714285714284,cone,collision
99,48,32,1.5,cone,cone
100,27,25,1.08,cone,cone
101,24,2,12.0,cone,jl
102,30,7,4.285714285714286,jl,jl
103,19,20,0.95,jl,jl
104,15,14,1.0714285714285714,cone,cone
105,57,17,3.3529411764705883,jl,jl
106,11,10,1.1,jl,jl
107,28,17,1.6470588235294117,cone,cone
108,49,21,2.3333333333333335,cone,jl
109,26,7,3.7142857142857144,jl,jl
110,15,14,1.0714285714285714,cone,cone
111,62,19,3.263157894736842,lateral,cone
112,21,7,3.0,cone,jl
113,38,22,1.7272727272727273,jl,jl
114,32,32,1.0,lateral,lateral
115,33,22,1.5,jl,jl
116,64,20,3.2,cone,cone
117,39,12,3.25,cone,jl
118,20,22,0.9090909090909091,jl,collision
119,41,2,20.5,cone,jl
120,26,3,8.666666666666666,cone,jl
121,58,40,1.45,lateral,jl
122,40,4,10.0,cone,jl
123,17,13,1.3076923076923077,jl,jl
124,13,13,1.0,cone,cone
125,8,8,1.0,collision,collision
126,13,5,2.6,jl,jl
127,50,28,1.7857142857142858,cone,cone
128,38,2,19.0,cone,jl
129,43,17,2.5294117647058822,lateral,jl
130,95,8,11.875,cone,jl
131,22,19,1.1578947368421053,cone,cone
132,17,8,2.125,cone,jl
133,14,6,2.3333333333333335,jl,jl
134,109,12,9.083333333333334,cone,cone
135,39,40,0.975,cone,cone
136,51,38,1.3421052631578947,cone,cone
137,20,8,2.5,cone,jl
138,36,14,2.5714285714285716,cone,jl
139,32,23,1.391304347826087,cone,cone
140,24,4,6.0,cone,jl
141,32,8,4.0,cone,jl
142,38,22,1.7272727272727273,jl,jl
143,9,11,0.8181818181818182,collision,collision
144,29,7,4.142857142857143,cone,jl
145,62,20,3.1,lateral,jl
146,78,33,2.3636363636363638,cone,cone
147,32,12,2.6666666666666665,cone,jl
148,74,25,2.96,jl,jl
149,32,20,1.6,cone,jl
150,54,17,3.176470588235294,cone,jl
